,tipo_acidente,qtd,ano
13,Colisão com objeto móvel,564,2016
14,Derramamento de Carga,436,2016
15,Danos Eventuais,331,2016
0,Colisão traseira,16149,2017
1,Saída de leito carroçável,15679,2017
2,Colisão lateral,10599,2017
3,Colisão transversal,10208,2017
4,Colisão com objeto estático,7329,2017
5,Tombamento,6118,2017
6,Capotamento,5628,2017
7,Colisão frontal,4974,2017
8,Atropelamento de Pedestre,3630,2017
9,Queda de ocupante de veículo,3622,2017
10,Atropelamento de Animal,2014,2017
11,Engavetamento,1196,2017
12,Incêndio,1055,2017
13,Colisão com objeto em movimento,627,2017
14,Derramamento de carga,372,2017
15,Danos eventuais,366,2017
16,Colisão com objeto,1,2017
0,Colisão traseira,12947,2018
1,Saída de leito carroçável,11335,2018
2,Colisão transversal,8619,2018
3,Colisão lateral,8348,2018
4,Tombamento,5174,2018
5,Colisão com objeto estático,5061,2018
6,Colisão frontal,4585,2018
7,Atropelamento de Pedestre,3375,2018
8,Queda de ocupante de veículo,3033,2018
9,Capotamento,2814,2018
10,Atropelamento de Animal,1237,2018
11,Engavetamento,992,2018
12,Incêndio,931,2018
13,Colisão com objeto em movimento,399,2018
14,Derramamento de carga,236,2018
15,Danos eventuais,223,2018
16,Colisão lateral mesmo sentido,1,2018
0,Colisão traseira,13134,2019
1,Saída de leito carroçável,10312,2019
2,Colisão transversal,8784,2019
3,Colisão lateral,8347,2019
4,Tombamento,5161,2019
5,Colisão com objeto estático,4464,2019
6,Colisão frontal,4409,2019
7,Atropelamento de Pedestre,3384,2019
8,Queda de ocupante de veículo,3324,2019
9,Capotamento,2279,2019
10,Atropelamento de Animal,1243,2019
11,Incêndio,1115,2019
12,Engavetamento,922,2019
13,Colisão com objeto em movimento,313,2019
14,Danos eventuais,182,2019
15,Derramamento de carga,166,2019
16,Eventos atípicos,1,2019
17,Colisão lateral sentido oposto,1,2019
0,Colisão traseira,11463,2020
1,Saída de leito carroçável,10494,2020
2,Colisão transversal,7822,2020
3,Colisão lateral,7439,2020
4,Tombamento,5565,2020
5,Colisão com objeto estático,4889,2020
6,Colisão frontal,4431,2020
7,Atropelamento de Pedestre,2843,2020
8,Queda de ocupante de veículo,2804,2020
9,Capotamento,1860,2020
10,Incêndio,1177,2020
11,Atropelamento de Animal,1159,2020
12,Engavetamento,898,2020
13,Colisão com objeto em movimento,255,2020
14,Danos eventuais,232,2020
15,Derramamento de carga,201,2020
16,Colisão com objeto,27,2020
17,Colisão lateral mesmo sentido,12,2020
18,Colisão lateral sentido oposto,9,2020
19,Eventos atípicos,5,2020
0,Colisão traseira,12315,2021
1,Saída de leito carroçável,10657,2021
2,Colisão transversal,8021,2021
3,Tombamento,5575,2021
4,Colisão lateral mesmo sentido,5572,2021
5,Colisão com objeto,4910,2021
6,Colisão frontal,4346,2021
7,Atropelamento de Pedestre,2912,2021
8,Queda de ocupante de veículo,2594,2021
9,Capotamento,1752,2021
10,Colisão lateral sentido oposto,1609,2021
11,Incêndio,1174,2021
12,Engavetamento,1054,2021
13,Atropelamento de Animal,978,2021
14,Colisão lateral,676,2021
15,Eventos atípicos,267,2021
16,Derramamento de carga,156,2021
0,Colisão traseira,12089,2022
1,Saída de leito carroçável,10502,2022
2,Colisão transversal,8008,2022
3,Colisão lateral mesmo sentido,6239,2022
4,Tombamento,5515,2022
5,Colisão com objeto,4764,2022
6,Colisão frontal,4467,2022
7,Atropelamento de Pedestre,3045,2022
8,Queda de ocupante de veículo,2756,2022
9,Colisão lateral sentido oposto,1775,2022
10,Capotamento,1563,2022
11,Incêndio,1305,2022
12,Atropelamento de Animal,1072,2022
13,Engavetamento,1021,2022
14,Eventos atípicos,339,2022
15,Derramamento de carga,146,2022
0,Colisão traseira,12909,2023
1,Saída de leito carroçável,10200,2023
2,Colisão transversal,8470,2023
3,Colisão lateral mesmo sentido,7002,2023
4,Tombamento,5699,2023
5,Colisão com objeto,4861,2023
6,Colisão frontal,4632,2023
7,Atropelamento de Pedestre,3133,2023
8,Queda de ocupante de veículo,3101,2023
9,Colisão lateral sentido oposto,2018,2023
10,Capotamento,1504,2023
11,Incêndio,1463,2023
12,Engavetamento,1248,2023
13,Atropelamento de Animal,1129,2023
14,Eventos atípicos,285,2023
15,Derramamento de carga,110,2023
