Unnamed: 0,br,qtd,ano
24,158,3501,2014
26,70,3246,2014
0,101,45564,2015
1,116,42247,2015
2,381,12582,2015
3,40,12206,2015
4,153,10923,2015
5,364,9009,2015
6,163,7408,2015
7,376,7403,2015
8,277,7192,2015
9,262,6861,2015
10,316,6805,2015
11,230,5866,2015
12,470,5695,2015
13,282,5338,2015
14,60,4296,2015
15,324,3786,2015
16,232,3517,2015
17,290,3297,2015
18,20,3295,2015
19,222,3217,2015
20,369,3080,2015
21,135,3038,2015
22,70,2779,2015
24,158,2730,2015
26,476,2644,2015
0,116,32445,2016
1,101,31645,2016
2,381,11162,2016
3,40,10015,2016
4,153,9185,2016
5,364,7248,2016
6,163,7013,2016
7,262,6188,2016
8,277,6025,2016
9,376,6004,2016
10,316,5197,2016
11,470,5009,2016
12,282,4265,2016
13,230,4043,2016
14,60,3900,2016
15,20,3033,2016
16,135,2911,2016
17,232,2846,2016
18,369,2801,2016
19,70,2784,2016
20,324,2699,2016
21,222,2643,2016
22,290,2601,2016
24,158,2387,2016
25,476,2249,2016
0,101,32728,2017
1,116,32617,2017
2,381,11963,2017
3,153,10096,2017
4,40,10040,2017
5,364,9012,2017
6,163,7649,2017
7,277,6923,2017
8,376,6811,2017
9,262,6064,2017
10,470,5484,2017
11,316,5009,2017
12,282,4528,2017
13,230,4023,2017
14,60,3805,2017
15,70,3247,2017
16,20,2979,2017
17,158,2744,2017
18,232,2677,2017
19,290,2584,2017
20,135,2573,2017
21,476,2489,2017
23,222,2381,2017
25,324,2290,2017
26,369,2237,2017
0,101,27344,2018
1,116,24769,2018
2,381,9189,2018
3,40,8203,2018
4,153,7889,2018
5,364,7559,2018
6,163,6077,2018
7,376,5431,2018
8,277,5131,2018
9,262,4853,2018
10,470,4578,2018
11,316,4073,2018
12,282,3807,2018
13,230,3409,2018
14,70,2768,2018
15,60,2752,2018
16,20,2513,2018
17,476,2175,2018
18,222,2112,2018
19,158,2057,2018
21,232,2022,2018
23,324,1882,2018
24,290,1882,2018
25,369,1833,2018
27,135,1722,2018
0,101,27411,2019
1,116,24252,2019
2,381,8841,2019
3,40,8267,2019
4,153,7245,2019
5,364,6576,2019
6,163,5855,2019
7,277,5127,2019
8,470,4847,2019
9,376,4824,2019
10,262,4816,2019
11,282,3805,2019
12,230,3219,2019
13,316,2795,2019
14,70,2652,2019
15,60,2618,2019
16,20,2583,2019
17,476,2268,2019
20,369,2129,2019
21,222,2091,2019
22,290,2084,2019
23,232,2020,2019
24,158,1937,2019
25,324,1794,2019
28,135,1596,2019
0,101,25286,2020
1,116,22640,2020
2,381,7891,2020
3,40,7566,2020
4,153,7057,2020
5,364,6174,2020
6,163,5705,2020
7,277,4501,2020
8,262,4468,2020
9,376,4148,2020
10,470,3816,2020
11,282,3158,2020
12,230,2987,2020
13,316,2944,2020
14,20,2575,2020
15,60,2536,2020
16,70,2523,2020
17,476,2065,2020
18,222,1932,2020
22,135,1752,2020
23,290,1746,2020
24,158,1745,2020
25,369,1705,2020
26,232,1658,2020
27,324,1610,2020
0,101,27183,2021
1,116,24001,2021
2,40,7745,2021
3,381,7571,2021
4,153,6825,2021
5,364,6190,2021
6,163,5994,2021
7,277,4903,2021
8,376,4580,2021
9,262,4457,2021
10,470,3756,2021
11,230,3179,2021
12,282,2929,2021
13,316,2844,2021
14,70,2609,2021
15,60,2513,2021
16,20,2500,2021
18,222,1962,2021
20,158,1931,2021
21,369,1915,2021
22,232,1883,2021
23,476,1872,2021
24,324,1705,2021
27,290,1613,2021
28,135,1584,2021
0,101,26584,2022
1,116,24929,2022
2,381,7966,2022
3,40,7764,2022
4,153,7216,2022
5,163,7041,2022
6,364,5722,2022
7,277,5254,2022
8,376,4567,2022
9,262,4279,2022
10,470,3687,2022
11,230,3482,2022
12,282,2997,2022
13,316,2810,2022
14,70,2514,2022
15,20,2248,2022
16,60,2221,2022
18,369,2010,2022
19,232,2009,2022
20,290,1936,2022
21,476,1936,2022
22,158,1912,2022
25,324,1847,2022
26,135,1727,2022
27,222,1682,2022
0,101,28909,2023
1,116,28354,2023
2,381,9059,2023
3,40,8698,2023
4,153,7589,2023
5,163,7057,2023
6,364,6038,2023
7,277,6023,2023
8,376,4837,2023
9,262,4505,2023
10,230,3662,2023
11,470,3630,2023
12,316,3220,2023
13,282,3155,2023
14,70,2625,2023
15,60,2429,2023
16,20,2280,2023
17,158,2262,2023
18,369,2256,2023
20,232,2186,2023
21,324,2172,2023
23,290,1905,2023
26,222,1587,2023
27,135,1504,2023
33,476,1123,2023
